iter	BalancedAccuracy	Logloss
0	0.803798487	0.6243208125
1	0.8109608885	0.5734603108
2	0.815467568	0.5303316226
3	0.8248028328	0.5009305831
4	0.8237566393	0.4792688073
5	0.8272171254	0.4604747382
6	0.8293899887	0.4475828616
7	0.8308385643	0.4342783781
8	0.8330919041	0.42342994
9	0.8334942862	0.4146758989
10	0.8347819089	0.4071766736
11	0.8390471592	0.3995893058
12	0.8429100274	0.3944928904
13	0.8430709802	0.3880681011
14	0.8463705134	0.3821732505
15	0.8483019475	0.3773112525
16	0.8524867214	0.3704547555
17	0.857395783	0.3612761325
18	0.8609367455	0.3565860016
19	0.8660872364	0.3508157793
20	0.8679381941	0.3481619414
21	0.8688234347	0.3439813575
22	0.8704329631	0.3418381466
23	0.8701915339	0.3386801535
24	0.8710767745	0.3358203079
25	0.8740544021	0.3298802356
26	0.875583454	0.3271645173
27	0.8789634637	0.3214368291
28	0.8842749075	0.3131445223
29	0.8846772896	0.310291211
30	0.8861258651	0.307129273
31	0.8870915822	0.3045694766
32	0.8880572992	0.3022671542
33	0.8888620634	0.2970514487
34	0.8903911154	0.2944551767
35	0.8911154032	0.2931716809
36	0.8917592146	0.2912400826
37	0.8928858844	0.2892432157
38	0.8938516015	0.2874097806
39	0.89433446	0.2864410078
40	0.8946563657	0.2848414966
41	0.8960244648	0.2835923556
42	0.895300177	0.2820302839
43	0.895300177	0.2808038126
44	0.895863512	0.2797767675
45	0.8966682762	0.2780363536
46	0.8972316111	0.276517989
47	0.8979558989	0.2745758876
48	0.8997263802	0.2713630505
49	0.9007725736	0.2700027633
50	0.9014968614	0.2689634271
51	0.9027844841	0.2665897637
52	0.9052792532	0.2624018791
53	0.9061644938	0.2605926163
54	0.9064059231	0.2592997183
55	0.9072911637	0.2582601969
56	0.9076130694	0.257018178
57	0.9072911637	0.2562146372
58	0.9074521165	0.2549007464
59	0.9080154515	0.2540099044
60	0.9086592628	0.2525767735
61	0.910027362	0.2502567295
62	0.9102687912	0.2495225034
63	0.9102687912	0.2488694894
64	0.9117173668	0.2474206521
65	0.9120392725	0.2465994024
66	0.9122002253	0.2462390073
67	0.912522131	0.2454245045
68	0.913085466	0.2445086359
69	0.9130049895	0.2438174894
70	0.9133268952	0.2428168613
71	0.9141316594	0.2407039487
72	0.9146145179	0.2400433044
73	0.9152583293	0.2376835834
74	0.9154192822	0.2364928507
75	0.9159826171	0.2353404519
76	0.9163045228	0.2343266843
77	0.9164654756	0.2333022197
78	0.916545952	0.2328500683
79	0.9172702398	0.2318910742
80	0.9172702398	0.2309651462
81	0.9175116691	0.2304090292
82	0.9183969097	0.2293867183
83	0.9185578625	0.2279743999
84	0.9187188154	0.2266330328
85	0.9194431032	0.2238500314
86	0.920167391	0.2231451214
87	0.9207307259	0.2224051719
88	0.9204892966	0.2218555613
89	0.9210526316	0.2211077571
90	0.9208112023	0.2201905666
91	0.9216159665	0.2190084833
92	0.9223402543	0.2172804702
93	0.9229840657	0.2161210737
94	0.9233059714	0.2155641515
95	0.9242716884	0.2145402903
96	0.9242716884	0.2136324365
97	0.9246740705	0.212926391
98	0.925156929	0.2116435395
99	0.9253983583	0.2100403794
100	0.9266055046	0.2065390267
101	0.9271688395	0.2048012693
102	0.9273297924	0.2041693755
103	0.9274907452	0.2034918536
104	0.9273297924	0.2024618265
105	0.9274102688	0.2018098131
106	0.9278126509	0.2009362973
107	0.928215033	0.199556279
108	0.928215033	0.1989824727
109	0.9287783679	0.198085647
110	0.9292612265	0.197437774
111	0.92918075	0.196841298
112	0.9295831321	0.1960837
113	0.929744085	0.1953261373
114	0.9299855142	0.1948383773
115	0.9302269435	0.1944174078
