iter	Passed	Remaining
0	14	14505
1	29	14526
2	44	14715
3	58	14448
4	71	14279
5	86	14286
6	99	14166
7	113	14071
8	128	14142
9	142	14068
10	174	15671
11	195	16058
12	208	15840
13	224	15831
14	238	15663
15	254	15646
16	269	15588
17	283	15484
18	298	15403
19	326	16017
20	349	16292
21	364	16199
22	378	16077
23	393	15984
24	409	15986
25	429	16087
26	442	15948
27	454	15777
28	466	15610
29	478	15459
30	489	15316
31	501	15172
32	513	15041
33	525	14917
34	536	14799
35	548	14686
36	560	14579
37	571	14476
38	583	14371
39	594	14278
40	606	14186
41	618	14097
42	631	14061
43	644	13997
44	656	13924
45	667	13845
46	679	13771
47	690	13699
48	702	13633
49	714	13566
50	726	13510
51	737	13450
52	749	13392
53	760	13331
54	772	13269
55	783	13210
56	795	13154
57	807	13119
58	819	13063
59	830	13011
60	841	12960
61	853	12910
62	865	12865
63	876	12817
64	887	12772
65	899	12728
66	910	12682
67	922	12638
68	933	12601
69	945	12560
70	957	12528
71	970	12506
72	982	12474
73	994	12443
74	1005	12402
75	1017	12366
76	1028	12330
77	1039	12293
78	1051	12255
79	1062	12219
80	1074	12187
81	1086	12158
82	1097	12125
83	1108	12090
84	1120	12059
85	1130	12017
86	1142	11985
87	1153	11956
88	1165	11925
89	1176	11896
90	1188	11867
91	1199	11840
92	1211	11811
93	1222	11787
94	1234	11759
95	1246	11734
96	1257	11711
97	1270	11698
98	1282	11676
99	1294	11650
100	1310	11668
101	1323	11655
102	1336	11636
103	1347	11611
104	1359	11584
105	1370	11560
106	1382	11536
107	1393	11512
108	1407	11509
109	1421	11497
110	1434	11489
111	1448	11480
112	1460	11464
113	1473	11455
114	1487	11444
115	1500	11434
116	1513	11422
117	1526	11407
118	1538	11393
119	1551	11381
120	1565	11372
121	1578	11362
122	1590	11343
123	1604	11332
124	1617	11323
125	1631	11314
126	1643	11298
127	1656	11284
128	1671	11286
129	1686	11285
130	1699	11273
131	1710	11250
132	1722	11229
133	1734	11208
134	1745	11185
135	1756	11161
136	1768	11140
137	1779	11117
138	1792	11101
139	1803	11080
140	1815	11059
141	1826	11036
142	1837	11013
143	1849	10993
144	1860	10972
145	1872	10950
146	1883	10929
147	1895	10909
148	1906	10888
149	1918	10868
150	1929	10848
151	1942	10839
152	1956	10828
153	1968	10815
154	1982	10806
155	1994	10793
156	2008	10784
157	2020	10768
158	2033	10754
159	2046	10745
160	2059	10734
161	2073	10724
162	2085	10707
163	2098	10696
164	2111	10687
165	2125	10678
166	2204	10994
167	2237	11078
168	2261	11121
169	2300	11232
170	2314	11221
171	2328	11208
172	2344	11206
173	2363	11220
174	2378	11212
175	2391	11195
176	2402	11172
177	2414	11151
178	2426	11129
179	2437	11106
180	2450	11086
181	2462	11067
182	2474	11046
183	2486	11026
184	2497	11003
185	2509	10983
186	2521	10961
187	2532	10939
188	2544	10918
189	2556	10897
190	2568	10877
191	2579	10855
192	2590	10830
193	2601	10809
194	2613	10789
195	2625	10770
196	2637	10748
197	2648	10728
198	2660	10710
199	2672	10690
200	2684	10670
201	2695	10650
202	2708	10631
203	2719	10612
204	2731	10592
205	2743	10573
206	2754	10553
207	2766	10534
208	2778	10515
209	2791	10501
210	2803	10483
211	2815	10465
212	2826	10445
213	2838	10424
214	2849	10404
215	2861	10387
216	2873	10368
217	2885	10350
218	2897	10331
219	2908	10313
220	2920	10295
221	2933	10278
222	2944	10260
223	2956	10242
224	2968	10224
225	2980	10206
226	2991	10187
227	3003	10168
228	3015	10151
229	3026	10133
230	3038	10115
231	3050	10099
232	3062	10081
233	3074	10063
234	3085	10043
235	3097	10026
236	3108	10008
237	3120	9992
238	3132	9974
239	3144	9958
240	3156	9941
241	3168	9924
242	3180	9907
243	3191	9888
244	3203	9871
245	3214	9853
246	3227	9839
247	3240	9825
248	3253	9812
249	3265	9795
250	3276	9778
251	3288	9759
252	3299	9742
253	3311	9727
254	3323	9709
255	3335	9692
256	3346	9675
257	3358	9657
258	3369	9641
259	3381	9624
260	3393	9607
261	3404	9589
262	3416	9572
263	3427	9556
264	3439	9539
265	3451	9523
266	3463	9507
267	3474	9490
268	3486	9473
269	3497	9457
270	3509	9440
271	3520	9423
272	3532	9406
273	3544	9390
274	3555	9374
275	3567	9358
276	3578	9341
277	3590	9325
278	3602	9309
279	3614	9293
280	3625	9276
281	3637	9260
282	3650	9249
283	3662	9234
284	3674	9217
285	3686	9202
286	3697	9186
287	3709	9170
288	3721	9154
289	3732	9138
290	3744	9122
291	3755	9104
292	3767	9090
293	3778	9073
294	3790	9058
295	3801	9042
296	3813	9026
297	3825	9010
298	3836	8994
299	3847	8977
300	3859	8961
301	3870	8945
302	3882	8930
303	3893	8915
304	3905	8899
305	3917	8883
306	3928	8868
307	3940	8852
308	3951	8836
309	3962	8820
310	3974	8805
311	3986	8789
312	3997	8773
313	4008	8757
314	4020	8742
315	4031	8727
316	4043	8711
317	4054	8695
318	4065	8679
319	4077	8663
320	4088	8648
321	4100	8633
322	4111	8617
323	4123	8603
324	4135	8588
325	4146	8571
326	4157	8556
327	4168	8541
328	4180	8526
329	4192	8511
330	4203	8496
331	4215	8482
332	4227	8468
333	4242	8460
334	4258	8453
335	4272	8442
336	4283	8427
337	4296	8414
338	4307	8399
339	4319	8384
340	4330	8369
341	4342	8355
342	4354	8340
343	4365	8324
344	4376	8309
345	4388	8294
346	4399	8279
347	4411	8264
348	4422	8250
349	4434	8235
350	4446	8220
351	4457	8205
352	4468	8190
353	4480	8175
354	4491	8161
355	4502	8145
356	4514	8130
357	4525	8115
358	4536	8100
359	4548	8086
360	4560	8071
361	4576	8066
362	4588	8051
363	4599	8036
364	4611	8022
365	4622	8007
366	4634	7993
367	4645	7977
368	4656	7963
369	4668	7948
370	4679	7933
371	4690	7919
372	4702	7904
373	4713	7889
374	4725	7875
375	4736	7861
376	4748	7846
377	4759	7832
378	4771	7818
379	4783	7804
380	4794	7790
381	4806	7775
382	4817	7761
383	4828	7746
384	4840	7732
385	4851	7717
386	4862	7702
387	4874	7688
388	4886	7674
389	4898	7661
390	4910	7648
391	4921	7633
392	4933	7619
393	4944	7605
394	4957	7592
395	4968	7578
396	4980	7564
397	4992	7551
398	5003	7537
399	5015	7523
400	5027	7509
401	5038	7495
402	5050	7481
403	5061	7467
404	5073	7453
405	5085	7440
406	5096	7425
407	5108	7412
408	5119	7398
409	5131	7384
410	5143	7371
411	5154	7356
412	5166	7342
413	5177	7328
414	5189	7315
415	5201	7301
416	5212	7287
417	5224	7274
418	5236	7260
419	5247	7247
420	5259	7233
421	5270	7219
422	5282	7205
423	5294	7192
424	5305	7178
425	5317	7164
426	5328	7150
427	5342	7140
428	5355	7128
429	5367	7114
430	5379	7101
431	5390	7087
432	5402	7073
433	5414	7060
434	5425	7046
435	5436	7033
436	5448	7019
437	5459	7005
438	5470	6991
439	5482	6977
440	5494	6964
441	5506	6951
442	5517	6937
443	5529	6924
444	5540	6910
445	5552	6896
446	5564	6883
447	5575	6870
448	5587	6856
449	5598	6842
450	5610	6829
451	5624	6819
452	5636	6806
453	5648	6793
454	5661	6780
455	5672	6767
456	5684	6754
457	5696	6741
458	5708	6728
459	5720	6715
460	5732	6702
461	5744	6689
462	5756	6676
463	5768	6663
464	5780	6650
465	5792	6637
466	5803	6624
467	5815	6610
468	5827	6597
469	5839	6584
470	5850	6571
471	5862	6558
472	5874	6545
473	5886	6532
474	5898	6519
475	5910	6506
476	5922	6493
477	5934	6480
478	5945	6467
479	5957	6453
480	5968	6440
481	5979	6426
482	5992	6414
483	6004	6401
484	6015	6387
485	6026	6374
486	6038	6360
487	6050	6347
488	6061	6334
489	6073	6321
490	6085	6308
491	6096	6295
492	6108	6282
493	6120	6268
494	6131	6255
495	6143	6242
496	6155	6229
497	6167	6217
498	6179	6204
499	6190	6190
500	6203	6178
501	6214	6165
502	6226	6152
503	6237	6138
504	6249	6125
505	6261	6112
506	6273	6099
507	6285	6087
508	6296	6073
509	6308	6060
510	6319	6047
511	6331	6034
512	6344	6022
513	6355	6009
514	6367	5996
515	6378	5982
516	6390	5970
517	6402	5957
518	6413	5943
519	6425	5930
520	6436	5917
521	6448	5904
522	6460	5891
523	6471	5878
524	6482	5865
525	6494	5852
526	6505	5838
527	6517	5825
528	6528	5812
529	6539	5799
530	6551	5786
531	6562	5773
532	6574	5760
533	6586	5747
534	6597	5734
535	6609	5721
536	6620	5708
537	6632	5695
538	6644	5683
539	6656	5670
540	6667	5657
541	6679	5644
542	6690	5631
543	6702	5618
544	6722	5611
545	6734	5599
546	6745	5586
547	6757	5573
548	6769	5560
549	6780	5547
550	6792	5534
551	6803	5521
552	6814	5508
553	6826	5495
554	6837	5482
555	6849	5469
556	6861	5456
557	6872	5444
558	6884	5431
559	6896	5418
560	6908	5405
561	6919	5393
562	6931	5380
563	6943	5367
564	6954	5354
565	6965	5341
566	6977	5328
567	6988	5315
568	6999	5302
569	7011	5289
570	7023	5276
